Order ID,Order Date,Ship Date,EmailID,Geography,Category,Product Name,Sales,Quantity,Profit,Shipping Days,Profit Margin,Month,year
CA-2013-158834,14-03-2013,17-03-2013,TamaraWillingham@gmail.com,"United States,Scottsdale,Arizona",Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5.00,17.77,3,11.25,3,2013
CA-2012-124919,31-05-2012,02-06-2012,StephaniePhelps@gmail.com,"United States,San Jose,California",Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7.00,26.27,2,45,5,2012
CA-2012-118948,28-05-2012,03-06-2012,NeilKnudson@gmail.com,"United States,Seattle,Washington",Art,Newell 311,6.63,3.00,1.79,6,27,5,2012
CA-2011-104269,01-03-2011,06-03-2011,DaveBrooks@gmail.com,"United States,Seattle,Washington",Chairs,Global Deluxe High-Back Manager's Chair,457.57,2.00,51.48,5,11.25,3,2011
CA-2013-162733,12-05-2013,13-05-2013,TedTrevino@gmail.com,"United States,Los Angeles,California",Paper,Xerox 1920,5.98,1.00,2.69,1,45,5,2013
CA-2013-154508,17-11-2013,21-11-2013,RubenDartt@gmail.com,"United States,Carlsbad,New Mexico",Envelopes,Staples,28.40,5.00,13.35,4,47,11,2013
CA-2013-113817,08-11-2013,12-11-2013,MaxJones@gmail.com,"United States,Seattle,Washington",Binders,Wilson Jones International Size A4 Ring Binders,27.68,2.00,9.69,4,35,11,2013
CA-2011-118962,05-08-2011,09-08-2011,ChadSievert@gmail.com,"United States,Los Angeles,California",Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",20.94,3.00,9.84,4,47,8,2011
CA-2011-123260,26-08-2011,30-08-2011,FrankMerwin@gmail.com,"United States,Los Angeles,California",Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.80,8.00,22.98,4,13,8,2011
CA-2012-131457,31-10-2012,06-11-2012,MaryZewe@gmail.com,"United States,Redlands,California",Envelopes,Poly String Tie Envelopes,14.28,7.00,6.71,6,47,10,2012
CA-2011-133690,03-08-2011,05-08-2011,BruceStewart@gmail.com,"United States,Denver,Colorado",Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2.00,-161.88,2,-74,8,2011
CA-2014-108329,10-12-2014,15-12-2014,LaurelElliston@gmail.com,"United States,Whittier,California",Phones,Nortel Business Series Terminal T7208 Digital phone,444.77,4.00,44.48,5,10,12,2014
CA-2013-130162,29-10-2013,02-11-2013,JonathanHowell@gmail.com,"United States,Los Angeles,California",Storage,"Personal Filing Tote with Lid, Black/Gray",93.06,6.00,26.06,4,28,10,2013
CA-2014-160514,13-11-2014,17-11-2014,DavidBremer@gmail.com,"United States,Santa Clara,California",Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56,2.00,4.75,4,45,11,2014
CA-2013-154739,11-12-2013,16-12-2013,LoganHaushalter@gmail.com,"United States,San Francisco,California",Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.57,2.00,28.14,5,8.75,12,2013
CA-2013-145625,12-09-2013,18-09-2013,KellyCollister@gmail.com,"United States,San Diego,California",Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61,1.00,3.58,6,47,9,2013
CA-2012-155040,10-11-2012,15-11-2012,AlanHwang@gmail.com,"United States,Brentwood,California",Accessories,Microsoft Sculpt Comfort Mouse,79.90,2.00,35.16,5,44,11,2012
CA-2014-163979,29-12-2014,03-01-2015,KristenHastings@gmail.com,"United States,San Francisco,California",Storage,Adjustable Depth Letter/Legal Cart,725.84,4.00,210.49,5,29,12,2014
CA-2012-155334,30-07-2012,31-07-2012,HelenAndreada@gmail.com,"United States,San Francisco,California",Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,209.93,7.00,92.37,1,44,7,2012
CA-2014-118136,17-09-2014,18-09-2014,BarryBlumstein@gmail.com,"United States,Inglewood,California",Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",8.82,2.00,4.06,1,46,9,2014
CA-2012-130890,02-11-2012,06-11-2012,JasO'Carroll@gmail.com,"United States,Los Angeles,California",Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84,5.00,51.94,4,5,11,2012
CA-2012-130883,26-09-2012,02-10-2012,TracyBlumstein@gmail.com,"United States,Portland,Oregon",Paper,Staples,141.76,5.00,47.84,6,33.75,9,2012
CA-2011-111451,26-12-2011,28-12-2011,KellyLampkin@gmail.com,"United States,Colorado Springs,Colorado",Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",300.42,8.00,78.86,2,26.25,12,2011
CA-2013-142902,13-09-2013,15-09-2013,BenPeterman@gmail.com,"United States,Arvada,Colorado",Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.14,4.00,3.59,2,23.75,9,2013
CA-2011-156601,19-09-2011,24-09-2011,FrankAtkinson@gmail.com,"United States,Long Beach,California",Fasteners,OIC Binder Clips,7.16,2.00,3.58,5,50,9,2011
CA-2013-162138,24-04-2013,28-04-2013,GraceKelly@gmail.com,"United States,Hesperia,California",Binders,Ibico Laser Imprintable Binding System Covers,251.52,6.00,81.74,4,32.5,4,2013
CA-2012-137946,01-09-2012,04-09-2012,DougBickford@gmail.com,"United States,Los Angeles,California",Binders,Storex Dura Pro Binders,4.75,1.00,1.60,3,33.75,9,2012
CA-2011-129924,12-07-2011,17-07-2011,AlyssaCrouse@gmail.com,"United States,San Francisco,California",Binders,Tuff Stuff Recycled Round Ring Binders,7.71,2.00,2.80,5,36.25,7,2011
CA-2012-128167,22-06-2012,26-06-2012,KenLonsdale@gmail.com,"United States,Layton,Utah",Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",4.96,4.00,2.33,4,47,6,2012
CA-2014-169901,16-06-2014,20-06-2014,ClayCheatham@gmail.com,"United States,San Francisco,California",Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,47.98,3.00,4.80,4,10,6,2014
CA-2011-123344,24-09-2011,29-09-2011,JuliaDunbar@gmail.com,"United States,San Francisco,California",Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4.00,8.48,5,4,9,2011
US-2011-119137,23-07-2011,27-07-2011,ArthurGainer@gmail.com,"United States,Tucson,Arizona",Binders,Wilson Jones Custom Binder Spines & Labels,8.16,5.00,-5.71,4,-70,7,2011
CA-2013-134775,29-10-2013,30-10-2013,AlejandroSavely@gmail.com,"United States,San Francisco,California",Paper,Southworth Structures Collection,50.96,7.00,25.48,1,50,10,2013
US-2011-135972,21-09-2011,23-09-2011,JackGarza@gmail.com,"United States,Des Moines,Washington",Phones,Nortel Meridian M3904 Professional Digital phone,246.38,2.00,27.72,2,11.25,9,2011
CA-2014-102946,01-07-2014,06-07-2014,VictorPreis@gmail.com,"United States,Las Vegas,Nevada",Binders,Tuf-Vin Binders,75.79,3.00,25.58,5,33.75,7,2014
CA-2014-117457,09-12-2014,13-12-2014,KeithHerrera@gmail.com,"United States,San Francisco,California",Accessories,Sony 64GB Class 10 Micro SDHC R40 Memory Card,179.95,5.00,37.79,4,21,12,2014
CA-2014-142636,04-11-2014,08-11-2014,KimberlyCarter@gmail.com,"United States,Seattle,Washington",Paper,Xerox 191,139.86,7.00,65.73,4,47,11,2014
CA-2014-122105,25-06-2014,29-06-2014,CarolineJumper@gmail.com,"United States,Huntington Beach,California",Art,Bulldog Vacuum Base Pencil Sharpener,95.92,8.00,25.90,4,27,6,2014
CA-2013-148796,15-04-2013,19-04-2013,PhilipBrown@gmail.com,"United States,Los Angeles,California",Chairs,Bevis Steel Folding Chairs,383.80,5.00,38.38,4,10,4,2013
CA-2014-110478,05-03-2014,10-03-2014,SungPak@gmail.com,"United States,Los Angeles,California",Art,American Pencil,9.32,4.00,2.70,5,29,3,2014
CA-2011-142048,22-06-2011,25-06-2011,JoelEaton@gmail.com,"United States,Louisville,Colorado",Accessories,KeyTronic 6101 Series - Keyboard - Black,196.75,6.00,56.57,3,28.75,6,2011
US-2011-110674,13-02-2011,19-02-2011,SanjitChand@gmail.com,"United States,Concord,California",Chairs,"Global Geo Office Task Chair, Gray",129.57,2.00,-24.29,6,-18.75,2,2011
CA-2012-109638,15-12-2012,22-12-2012,JosephHolt@gmail.com,"United States,Seattle,Washington",Appliances,3M Office Air Cleaner,103.92,4.00,36.37,7,35,12,2012
CA-2013-109869,23-04-2013,30-04-2013,TanjaNorvell@gmail.com,"United States,Phoenix,Arizona",Furnishings,Eldon Wave Desk Accessories,23.56,5.00,7.07,7,30,4,2013
CA-2011-144666,09-11-2011,11-11-2011,JeremyPistek@gmail.com,"United States,San Francisco,California",Storage,SAFCO Boltless Steel Shelving,340.92,3.00,3.41,2,1,11,2011
CA-2013-103891,13-07-2013,20-07-2013,KristenHastings@gmail.com,"United States,Los Angeles,California",Phones,Cisco SPA525G2 IP Phone - Wireless,95.76,6.00,7.18,7,7.5,7,2013
CA-2011-134677,06-10-2011,10-10-2011,XylonaPreis@gmail.com,"United States,San Diego,California",Accessories,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,9.09,3.00,1.91,4,21,10,2011
CA-2014-140963,11-06-2014,14-06-2014,MichelleTran@gmail.com,"United States,Los Angeles,California",Labels,Alphabetical Labels for Top Tab Filing,29.60,2.00,14.80,3,50,6,2014
CA-2013-169166,10-05-2013,15-05-2013,SoniaSunley@gmail.com,"United States,Seattle,Washington",Accessories,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,93.98,2.00,13.16,5,14,5,2013
CA-2013-126158,26-07-2013,01-08-2013,SanjitChand@gmail.com,"United States,Costa Mesa,California",Binders,Clear Mylar Reinforcing Strips,119.62,8.00,40.37,6,33.75,7,2013
US-2013-105578,31-05-2013,05-06-2013,MaribethYedwab@gmail.com,"United States,Parker,Colorado",Binders,Vinyl Sectional Post Binders,22.62,2.00,-15.08,5,-66.66666667,5,2013
CA-2014-163405,22-12-2014,26-12-2014,BradleyNguyen@gmail.com,"United States,Los Angeles,California",Art,Newell 327,6.63,3.00,1.79,4,27,12,2014
CA-2014-127432,23-01-2014,28-01-2014,AlanDominguez@gmail.com,"United States,Great Falls,Montana",Copiers,Canon Image Class D660 Copier,2999.95,5.00,1379.98,5,46,1,2014
US-2013-139486,22-05-2013,24-05-2013,LoganHaushalter@gmail.com,"United States,Los Angeles,California",Phones,Motorola HK250 Universal Bluetooth Headset,55.18,3.00,-12.41,2,-22.5,5,2013
CA-2012-102848,07-11-2012,09-11-2012,KarenBern@gmail.com,"United States,Los Angeles,California",Chairs,Safco Contoured Stacking Chairs,190.72,1.00,11.92,2,6.25,11,2012
US-2014-129441,08-09-2014,12-09-2014,JasperCacioppo@gmail.com,"United States,Los Angeles,California",Furnishings,Tenex Chairmats For Use With Carpeted Floors,47.94,3.00,2.40,4,5,9,2014
CA-2013-126613,11-07-2013,17-07-2013,AllenArmold@gmail.com,"United States,Mesa,Arizona",Storage,Sterilite Officeware Hinged File Box,16.77,2.00,1.47,6,8.75,7,2013
CA-2013-136924,15-07-2013,18-07-2013,ErinSmith@gmail.com,"United States,Tucson,Arizona",Phones,LG Electronics Tone+ HBS-730 Bluetooth Headset,380.86,8.00,38.09,3,10,7,2013
CA-2013-136406,16-04-2013,18-04-2013,BillDonatelli@gmail.com,"United States,San Francisco,California",Chairs,HON 5400 Series Task Chairs for Big and Tall,1121.57,2.00,0.00,2,0,4,2013
CA-2014-100650,30-06-2014,04-07-2014,DeanKatz@gmail.com,"United States,Anaheim,California",Storage,Tennsco 16-Compartment Lockers with Coat Rack,1295.78,2.00,310.99,4,24,6,2014
CA-2013-113243,11-06-2013,16-06-2013,OlveraToch@gmail.com,"United States,Los Angeles,California",Labels,Avery 473,20.70,2.00,9.94,5,48,6,2013
CA-2014-118731,21-11-2014,23-11-2014,LizPelletier@gmail.com,"United States,San Francisco,California",Furnishings,Coloredge Poster Frame,42.60,3.00,16.61,2,39,11,2014
CA-2012-130736,07-12-2012,09-12-2012,JeremyFarry@gmail.com,"United States,Seattle,Washington",Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",3.96,2.00,0.00,2,0,12,2012
CA-2014-137099,08-12-2014,11-12-2014,FrankPreis@gmail.com,"United States,Los Angeles,California",Phones,Cisco SPA301,374.38,3.00,46.80,3,12.5,12,2014
CA-2014-156951,02-10-2014,09-10-2014,EllisBallard@gmail.com,"United States,Seattle,Washington",Paper,Personal Creations Ink Jet Cards and Labels,91.84,8.00,45.00,7,49,10,2014
CA-2013-127250,04-11-2013,08-11-2013,SarahFoster@gmail.com,"United States,Marysville,Washington",Art,Newell 332,8.82,3.00,2.38,4,27,11,2013
CA-2012-149713,18-09-2012,22-09-2012,TrudyGlocke@gmail.com,"United States,Long Beach,California",Paper,Personal Creations Ink Jet Cards and Labels,160.72,14.00,78.75,4,49,9,2012
CA-2012-132906,10-09-2012,14-09-2012,CharlesCrestani@gmail.com,"United States,Los Angeles,California",Supplies,Martin-Yale Premier Letter Opener,51.52,4.00,1.55,4,3,9,2012
CA-2014-145233,02-12-2014,06-12-2014,DiannaVittorini@gmail.com,"United States,Denver,Colorado",Phones,GE 30524EE4,470.38,3.00,52.92,4,11.25,12,2014
US-2013-156986,21-03-2013,25-03-2013,ZuschussCarroll@gmail.com,"United States,Salem,Oregon",Phones,i.Sound Portable Power - 8000 mAh,84.78,2.00,-20.14,4,-23.75,3,2013
CA-2011-131450,08-08-2011,15-08-2011,LenaRadford@gmail.com,"United States,San Diego,California",Appliances,Fellowes Superior 10 Outlet Split Surge Protector,76.12,2.00,22.07,7,29,8,2011
CA-2014-153787,20-05-2014,24-05-2014,AnnieThurman@gmail.com,"United States,Seattle,Washington",Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,97.16,2.00,28.18,4,29,5,2014
CA-2014-133431,18-12-2014,22-12-2014,LoganCurrie@gmail.com,"United States,San Francisco,California",Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",15.24,5.00,5.14,4,33.75,12,2014
US-2013-135720,12-12-2013,14-12-2013,FredMcMath@gmail.com,"United States,Aurora,Colorado",Storage,Tennsco Regal Shelving Units,243.38,3.00,-51.72,2,-21.25,12,2013
US-2013-123470,16-08-2013,22-08-2013,MaxEngle@gmail.com,"United States,Aurora,Colorado",Binders,Premium Transparent Presentation Covers by GBC,18.88,3.00,-13.85,6,-73.33333333,8,2013
CA-2013-115917,21-05-2013,26-05-2013,RickBensley@gmail.com,"United States,Vallejo,California",Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1049.20,5.00,272.79,5,26,5,2013
CA-2014-167913,31-07-2014,04-08-2014,JohnLee@gmail.com,"United States,Mission Viejo,California",Storage,Economy Rollaway Files,330.40,2.00,85.90,4,26,7,2014
CA-2013-103947,02-04-2013,09-04-2013,BarryBlumstein@gmail.com,"United States,Sierra Vista,Arizona",Fasteners,Staples,31.56,5.00,9.86,7,31.25,4,2013
CA-2013-160745,12-12-2013,17-12-2013,AnthonyRawles@gmail.com,"United States,Vancouver,Washington",Furnishings,3M Hangers With Command Adhesive,14.80,4.00,6.07,5,41,12,2013
CA-2012-131534,28-03-2012,02-04-2012,AlanBarnes@gmail.com,"United States,Los Angeles,California",Accessories,Imation Bio 8GB USB Flash Drive Imation Corp,166.24,1.00,24.94,5,15,3,2012
CA-2013-163755,05-11-2013,09-11-2013,AlejandroSavely@gmail.com,"United States,Seattle,Washington",Furnishings,"Tenex ""The Solids"" Textured Chair Mats",209.88,3.00,35.68,4,17,11,2013
CA-2012-142027,09-04-2012,14-04-2012,JayKimmel@gmail.com,"United States,Long Beach,California",Tables,Laminate Occasional Tables,369.91,3.00,-13.87,5,-3.75,4,2012
CA-2011-153150,01-07-2011,06-07-2011,Dorrisliebe@gmail.com,"United States,Seattle,Washington",Binders,Cardinal Holdit Business Card Pockets,19.92,5.00,6.97,5,35,7,2011
CA-2011-104472,02-06-2011,07-06-2011,ChristineKargatis@gmail.com,"United States,Orem,Utah",Binders,GBC Standard Therm-A-Bind Covers,59.81,3.00,19.44,5,32.5,6,2011
CA-2013-112942,13-02-2013,18-02-2013,RossDeVincentis@gmail.com,"United States,Los Angeles,California",Paper,Tops Green Bar Computer Printout Paper,146.82,3.00,73.41,5,50,2,2013
CA-2014-131954,22-01-2014,26-01-2014,DarrinSayre@gmail.com,"United States,Seattle,Washington",Storage,Carina Double Wide Media Storage Towers in Natural & Black,242.94,3.00,9.72,4,4,1,2014
CA-2011-132500,08-09-2011,12-09-2011,GaryZandusky@gmail.com,"United States,San Francisco,California",Accessories,Logitech Wireless Touch Keyboard K400,49.98,2.00,8.50,4,17,9,2011
CA-2011-124429,27-05-2011,27-05-2011,MayaHerman@gmail.com,"United States,San Diego,California",Tables,KI Conference Tables,567.12,10.00,-28.36,0,-5,5,2011
CA-2013-110499,08-04-2013,10-04-2013,YosephCarroll@gmail.com,"United States,San Francisco,California",Copiers,Hewlett Packard 610 Color Digital Copier / Printer,1199.98,3.00,374.99,2,31.25,4,2013
CA-2012-135272,07-12-2012,12-12-2012,MelanieSeite@gmail.com,"United States,Los Angeles,California",Furnishings,12-1/2 Diameter Round Wall Clock,79.92,4.00,28.77,5,36,12,2012
CA-2012-112319,31-08-2012,05-09-2012,AndrewRoberts@gmail.com,"United States,Los Angeles,California",Paper,Xerox 226,58.32,9.00,27.99,5,48,8,2012
CA-2012-144267,21-08-2012,23-08-2012,NickZandusky@gmail.com,"United States,San Francisco,California",Chairs,Hon GuestStacker Chair,544.01,3.00,40.80,2,7.5,8,2012
CA-2014-129567,18-03-2014,22-03-2014,ClayLudtke@gmail.com,"United States,Lancaster,California",Binders,Heavy-Duty E-Z-D Binders,17.46,2.00,5.89,4,33.75,3,2014
CA-2012-154620,12-12-2012,16-12-2012,LizThompson@gmail.com,"United States,Lancaster,California",Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",348.93,2.00,34.89,4,10,12,2012
CA-2011-156433,20-09-2011,26-09-2011,EricaSmith@gmail.com,"United States,San Francisco,California",Labels,Avery 499,9.96,2.00,4.58,6,46,9,2011
CA-2012-101910,27-11-2012,03-12-2012,CarlosDaly@gmail.com,"United States,Lake Elsinore,California",Chairs,"Situations Contoured Folding Chairs, 4/Set",283.92,5.00,17.75,6,6.25,11,2012
CA-2014-105809,21-02-2014,24-02-2014,HelenWasserman@gmail.com,"United States,San Diego,California",Furnishings,"Executive Impressions 14"" Contract Wall Clock",22.23,1.00,7.34,3,33,2,2014
CA-2014-135783,23-04-2014,25-04-2014,GaryMcGarr@gmail.com,"United States,San Francisco,California",Furnishings,"Eldon Stackable Tray, Side-Load, Legal, Smoke",18.28,2.00,6.22,2,34,4,2014
CA-2011-134313,01-11-2011,07-11-2011,RussellApplegate@gmail.com,"United States,Denver,Colorado",Art,Model L Table or Wall-Mount Pencil Sharpener,43.18,3.00,4.32,6,10,11,2011
CA-2011-151995,13-10-2011,15-10-2011,ZuschussCarroll@gmail.com,"United States,Edmonds,Washington",Art,Newell 32,11.52,4.00,3.23,2,28,10,2011
CA-2014-143686,15-05-2014,15-05-2014,PaulineJohnson@gmail.com,"United States,Santa Ana,California",Furnishings,"Eldon Stackable Tray, Side-Load, Legal, Smoke",18.28,2.00,6.22,0,34,5,2014
US-2011-102071,09-05-2011,15-05-2011,PatrickGardner@gmail.com,"United States,San Francisco,California",Accessories,Kingston Digital DataTraveler 32GB USB 2.0,67.80,4.00,4.07,6,6,5,2011
CA-2013-161669,08-11-2013,10-11-2013,EudokiaMartin@gmail.com,"United States,Los Angeles,California",Binders,Fellowes Binding Cases,37.44,4.00,11.70,2,31.25,11,2013
CA-2013-152534,21-06-2013,26-06-2013,DavePoirier@gmail.com,"United States,Salinas,California",Art,DIXON Oriole Pencils,5.16,2.00,1.34,5,26,6,2013
CA-2011-133851,09-06-2011,16-06-2011,ChuckMagee@gmail.com,"United States,San Francisco,California",Supplies,Staples,7.36,2.00,0.15,7,2,6,2011
US-2014-123463,24-12-2014,24-12-2014,GaryZandusky@gmail.com,"United States,San Francisco,California",Art,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",13.48,4.00,5.93,0,44,12,2014
CA-2012-143602,25-04-2012,28-04-2012,JillStevenson@gmail.com,"United States,Los Angeles,California",Binders,Fellowes Black Plastic Comb Bindings,13.94,3.00,4.53,3,32.5,4,2012
CA-2014-115364,27-06-2014,03-07-2014,OlveraToch@gmail.com,"United States,San Diego,California",Storage,Eldon Shelf Savers Cubes and Bins,83.76,12.00,1.68,6,2,6,2014
CA-2011-104976,09-12-2011,16-12-2011,CymaKinney@gmail.com,"United States,San Francisco,California",Paper,Xerox 1987,34.68,6.00,16.99,7,49,12,2011
CA-2013-105494,11-11-2013,13-11-2013,PamelaCoakley@gmail.com,"United States,San Francisco,California",Storage,File Shuttle I and Handi-File,155.82,7.00,42.07,2,27,11,2013
CA-2013-130477,09-04-2013,13-04-2013,LoganCurrie@gmail.com,"United States,Los Angeles,California",Paper,Xerox 1923,20.04,3.00,9.62,4,48,4,2013
US-2014-111745,06-11-2014,07-11-2014,RubenAusman@gmail.com,"United States,Farmington,New Mexico",Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,159.99,1.00,54.40,1,34,11,2014
CA-2012-148250,13-12-2012,17-12-2012,RachelPayne@gmail.com,"United States,Riverside,California",Paper,Xerox 213,12.96,2.00,6.22,4,48,12,2012
CA-2013-105760,20-06-2013,21-06-2013,KarenCarlisle@gmail.com,"United States,San Francisco,California",Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",17.12,2.00,8.05,1,47,6,2013
CA-2013-142958,14-12-2013,21-12-2013,RobWilliams@gmail.com,"United States,Torrance,California",Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",6.10,2.00,2.21,7,36.25,12,2013
CA-2012-120880,29-05-2012,03-06-2012,JohnLucas@gmail.com,"United States,Seattle,Washington",Paper,Xerox 1894,32.40,5.00,15.55,5,48,5,2012
US-2012-140200,26-07-2012,28-07-2012,CynthiaArntzen@gmail.com,"United States,Mesa,Arizona",Tables,Bevis Boat-Shaped Conference Table,393.17,3.00,-204.45,2,-52,7,2012
CA-2014-102414,16-05-2014,19-05-2014,JosephAirdo@gmail.com,"United States,Phoenix,Arizona",Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",29.59,1.00,2.59,3,8.75,5,2014
CA-2012-112571,22-09-2012,22-09-2012,DanielLacy@gmail.com,"United States,Oceanside,California",Furnishings,Luxo Professional Combination Clamp-On Lamps,204.60,2.00,53.20,0,26,9,2012
CA-2014-152142,15-11-2014,20-11-2014,LindsayWilliams@gmail.com,"United States,San Francisco,California",Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.57,2.00,28.14,5,8.75,11,2014
CA-2013-120859,02-09-2013,05-09-2013,CynthiaVoltz@gmail.com,"United States,San Francisco,California",Envelopes,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",21.88,2.00,10.94,3,50,9,2013
US-2014-100209,10-07-2014,16-07-2014,TamaraDahlen@gmail.com,"United States,Portland,Oregon",Binders,Wilson Jones Easy Flow II Sheet Lifters,1.08,2.00,-0.79,6,-73.33333333,7,2014
CA-2011-163419,11-11-2011,14-11-2011,TracyZic@gmail.com,"United States,Louisville,Colorado",Art,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",3.39,1.00,0.81,3,23.75,11,2011
